|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   0   |12345|    0|      0 |
|1+  |     0|1110110000010000|  0  |      0|   0   |12345|    0|      0 |
|2   |     0|1110110000010000|  0  |      0|   0   |12345|    0|      0 |
|2+  |     0|0101101110100000|  0  |      0|   0   |12345|    0|      0 |
|3   |     0|0101101110100000|  0  |      0|   0   |23456|    0|      0 |
|3+  |     0|1110000111010000|  0  |      0|   0   |23456|    0|      0 |
|4   |     0|1110000111010000|  0  |      0|   0   |23456|    0|      0 |
|4+  |     0|0000001111101000|  0  |      0|   0   |23456|    0|      0 |
|5   |     0|0000001111101000|  0  |      0|   0   | 1000|    0|      0 |
|5+  |     0|1110001100001000|  0  |      0|   0   | 1000|    0|      0 |
|6   |     0|1110001100001000|  0  |      0|   0   | 1000|    0|      0 |
|6+  |     0|0000001111101001|  0  |      0|   0   | 1000|    0|      0 |
|7   |     0|0000001111101001|  0  |      0|   0   | 1001|    0|      0 |
|7+  |     0|1110001110011000|  0  |      0|   0   | 1001|    0|      0 |
|8   |     0|1110001110011000|  0  |      0|   0   | 1001|    0|      0 |
|8+  |     0|0000001111101000|  0  |      0|   0   | 1001|    0|      0 |
|9   |     0|0000001111101000|  0  |      0|   0   | 1000|    0|      0 |
|9+  | 11111|1111010011010000|  0  |      0|   0   | 1000|    0|      0 |
|10  | 11111|1111010011010000|  0  |      0|   0   | 1000|    0|      0 |
|10+ | 11111|0000000000001110|  0  |      0|   0   | 1000|    0|      0 |
|11  | 11111|0000000000001110|  0  |      0|   0   |   14|    0|      0 |
|11+ | 11111|1110001100000100|  0  |      0|   0   |   14|    0|      0 |
|12  | 11111|1110001100000100|  0  |      0|   0   |   14|    0|      0 |
|12+ | 11111|0000001111100111|  0  |      0|   0   |   14|    0|      0 |
|13  | 11111|0000001111100111|  0  |      0|   0   |  999|    0|      0 |
